candidate_id	source_sequence_index	rank	length_nt	score_without_rnafold	gc	gc_difference_to_target	tai_like	tai_difference_to_target	cai	mfe_proxy_report_only	restriction_site_total	polyA_signal_total	restriction_hits	polyA_hits	aa_fidelity	codon_accuracy_vs_reference
seq1_candidate1	1	1	1113	-0.3281644404754112	0.4411500449236298	0.01115004492362981	0.4404374840249974	0.06743748402499739	0.8804042083898557	0.47646001796945187	0	0	{'BamHI': 0, 'BglII': 0, 'KasI': 0, 'SacI': 0}	{'canonical_polyA': 0, 'variant_polyA': 0}	1.0	0.4609164420485175
seq1_candidate2	1	2	1113	-0.11731535122827436	0.48517520215633425	0.05517520215633426	0.37783552143996524	0.00483552143996524	0.6857033625871533	0.4940700808625336	0	0	{'BamHI': 0, 'BglII': 0, 'KasI': 0, 'SacI': 0}	{'canonical_polyA': 0, 'variant_polyA': 0}	1.0	0.39892183288409705
seq1_candidate3	1	3	1113	-0.09603600647634608	0.4914645103324349	0.061464510332434885	0.3735894325606483	0.0005894325606483064	0.6849669607334679	0.4965858041329738	0	0	{'BamHI': 0, 'BglII': 0, 'KasI': 0, 'SacI': 0}	{'canonical_polyA': 0, 'variant_polyA': 0}	1.0	0.37735849056603776
seq1_candidate4	1	4	1113	9.833779276479362	0.472596585804133	0.042596585804133	0.3543709320915008	0.01862906790849922	0.7104722692913378	0.48903863432165307	0	1	{'BamHI': 0, 'BglII': 0, 'KasI': 0, 'SacI': 0}	{'canonical_polyA': 1, 'variant_polyA': 0}	1.0	0.37735849056603776
seq1_candidate5	1	5	1113	9.834091496403646	0.4752920035938904	0.045292003593890406	0.37839806396279124	0.005398063962791244	0.704949163869414	0.4901168014375561	1	0	{'BamHI': 1, 'BglII': 0, 'KasI': 0, 'SacI': 0}	{'canonical_polyA': 0, 'variant_polyA': 0}	1.0	0.40431266846361186
seq1_candidate6	1	6	1113	9.845608504255464	0.477088948787062	0.04708894878706199	0.3591510813072617	0.013848918692738299	0.7131924191710445	0.49083557951482476	1	0	{'BamHI': 0, 'BglII': 0, 'KasI': 0, 'SacI': 1}	{'canonical_polyA': 0, 'variant_polyA': 0}	1.0	0.40161725067385445
seq1_candidate7	1	7	1113	9.851101885654522	0.4743935309973046	0.04439353099730459	0.3503624252307409	0.022637574769259095	0.6982196262079123	0.4897574123989218	0	1	{'BamHI': 0, 'BglII': 0, 'KasI': 0, 'SacI': 0}	{'canonical_polyA': 1, 'variant_polyA': 0}	1.0	0.3935309973045822
seq1_candidate8	1	8	1113	9.871766564274555	0.4806828391734052	0.050682839173405214	0.388179590689343	0.015179590689342992	0.6922887662168167	0.492273135669362	0	1	{'BamHI': 0, 'BglII': 0, 'KasI': 0, 'SacI': 0}	{'canonical_polyA': 1, 'variant_polyA': 0}	1.0	0.3908355795148248
seq1_candidate9	1	9	1113	9.885919631395383	0.48517520215633425	0.05517520215633426	0.3822831030459208	0.009283103045920782	0.68812856055175	0.49407008086253357	0	1	{'BamHI': 0, 'BglII': 0, 'KasI': 0, 'SacI': 0}	{'canonical_polyA': 1, 'variant_polyA': 0}	1.0	0.3908355795148248
seq1_candidate10	1	10	1113	19.855835207862526	0.4743935309973046	0.04439353099730459	0.34498875956857855	0.028011240431421447	0.6995003131162276	0.4897574123989218	1	1	{'BamHI': 1, 'BglII': 0, 'KasI': 0, 'SacI': 0}	{'canonical_polyA': 1, 'variant_polyA': 0}	1.0	0.3746630727762803
seq1_candidate11	1	11	1113	19.864607062795805	0.47349505840071876	0.04349505840071877	0.3305663386824833	0.04243366131751669	0.7036136642491724	0.4893980233602875	2	0	{'BamHI': 1, 'BglII': 0, 'KasI': 0, 'SacI': 1}	{'canonical_polyA': 0, 'variant_polyA': 0}	1.0	0.40431266846361186
seq1_candidate12	1	12	1113	29.931748551223965	0.48607367475292	0.05607367475292002	0.32583478665935844	0.047165213340641554	0.6794227222567168	0.49442946990116793	2	1	{'BamHI': 0, 'BglII': 0, 'KasI': 1, 'SacI': 1}	{'canonical_polyA': 1, 'variant_polyA': 0}	1.0	0.40161725067385445
seq2_candidate1	2	1	1116	-0.15694311115236464	0.4722222222222222	0.04222222222222222	0.3587971214648244	0.0142028785351756	0.6800697571528582	0.4888888888888888	0	0	{'BamHI': 0, 'BglII': 0, 'KasI': 0, 'SacI': 0}	{'canonical_polyA': 0, 'variant_polyA': 0}	1.0	0.4032258064516129
seq2_candidate2	2	2	1116	9.838484140037277	0.4731182795698925	0.043118279569892504	0.3691714700178533	0.0038285299821467222	0.675635016448879	0.489247311827957	1	0	{'BamHI': 1, 'BglII': 0, 'KasI': 0, 'SacI': 0}	{'canonical_polyA': 0, 'variant_polyA': 0}	1.0	0.3844086021505376
seq2_candidate3	2	3	1116	9.889979298508354	0.4731182795698925	0.043118279569892504	0.3165127605669501	0.056487239433049896	0.6779621184085299	0.489247311827957	1	0	{'BamHI': 0, 'BglII': 0, 'KasI': 1, 'SacI': 0}	{'canonical_polyA': 0, 'variant_polyA': 0}	1.0	0.3709677419354839
seq2_candidate4	2	4	1116	19.760703432411905	0.4525089605734767	0.022508960573476733	0.34741802073004785	0.02558197926995215	0.7098287783039058	0.4810035842293907	2	0	{'BamHI': 1, 'BglII': 1, 'KasI': 0, 'SacI': 0}	{'canonical_polyA': 0, 'variant_polyA': 0}	1.0	0.3897849462365591
